,Year,Police Region,Local Government Area,Total Population
261,2015,4 Western,Greater Bendigo,109907
262,2015,3 Southern Metro,Greater Dandenong,156060
263,2015,4 Western,Greater Geelong,232925
264,2015,2 Eastern,Greater Shepparton,64488
265,2015,4 Western,Hepburn,15333
266,2015,4 Western,Hindmarsh,5807
267,2015,1 North West Metro,Hobsons Bay,91673
268,2015,4 Western,Horsham,19791
269,2015,1 North West Metro,Hume,198175
270,2015,2 Eastern,Indigo,15921
271,2015,3 Southern Metro,Kingston,156243
272,2015,2 Eastern,Knox,158699
273,2015,2 Eastern,Latrobe,74265
274,2015,4 Western,Loddon,7530
275,2015,4 Western,Macedon Ranges,46372
276,2015,2 Eastern,Manningham,120784
277,2015,2 Eastern,Mansfield,8529
278,2015,1 North West Metro,Maribyrnong,84782
279,2015,2 Eastern,Maroondah,113022
280,2015,1 North West Metro,Melbourne,136871
281,2015,1 North West Metro,Melton,134914
282,2015,4 Western,Mildura,54155
283,2015,2 Eastern,Mitchell,40263
284,2015,2 Eastern,Moira,29287
285,2015,2 Eastern,Monash,189173
286,2015,1 North West Metro,Moonee Valley,120230
287,2015,4 Western,Moorabool,31747
288,2015,1 North West Metro,Moreland,167869
289,2015,3 Southern Metro,Mornington Peninsula,158830
290,2015,4 Western,Mount Alexander,18793
291,2015,4 Western,Moyne,16590
292,2015,2 Eastern,Murrindindi,13847
293,2015,1 North West Metro,Nillumbik,63674
294,2015,4 Western,Northern Grampians,11643
295,2015,3 Southern Metro,Port Phillip,106380
296,2015,4 Western,Pyrenees,7178
297,2015,4 Western,Queenscliffe,2932
298,2015,2 Eastern,South Gippsland,28780
299,2015,4 Western,Southern Grampians,16161
300,2015,3 Southern Metro,Stonnington,108027
301,2015,2 Eastern,Strathbogie,10174
302,2015,4 Western,Surf Coast,29624
303,2015,4 Western,Swan Hill,20892
304,2015,2 Eastern,Towong,6004
305,2015,2 Eastern,Wangaratta,28142
306,2015,4 Western,Warrnambool,34004
307,2015,2 Eastern,Wellington,43171
308,2015,4 Western,West Wimmera,3973
309,2015,2 Eastern,Whitehorse,166678
310,2015,1 North West Metro,Whittlesea,196846
311,2015,2 Eastern,Wodonga,39222
312,2015,1 North West Metro,Wyndham,213814
313,2015,1 North West Metro,Yarra,89922
314,2015,2 Eastern,Yarra Ranges,153390
315,2015,4 Western,Yarriambiack,6825
316,2016,2 Eastern,Alpine,12577
317,2016,4 Western,Ararat,11744
318,2016,4 Western,Ballarat,103499
319,2016,1 North West Metro,Banyule,127446
320,2016,2 Eastern,Bass Coast,33463
321,2016,2 Eastern,Baw Baw,49295
322,2016,3 Southern Metro,Bayside,102911
323,2016,2 Eastern,Benalla,13981
324,2016,2 Eastern,Boroondara,177275
325,2016,1 North West Metro,Brimbank,204189
326,2016,4 Western,Buloke,6283
327,2016,4 Western,Campaspe,37594
328,2016,3 Southern Metro,Cardinia,97572
329,2016,3 Southern Metro,Casey,312788
330,2016,4 Western,Central Goldfields,13086
331,2016,4 Western,Colac-Otway,21361
332,2016,4 Western,Corangamite,16242
333,2016,1 North West Metro,Darebin,155125
334,2016,2 Eastern,East Gippsland,45599
335,2016,3 Southern Metro,Frankston,139501
336,2016,4 Western,Gannawarra,10566
337,2016,3 Southern Metro,Glen Eira,148582
338,2016,4 Western,Glenelg,19758
339,2016,4 Western,Golden Plains,22015
