,Year,Local Government Area,Total Population
313,2015,Yarra,89922
314,2015,Yarra Ranges,153390
315,2015,Yarriambiack,6825
316,2016,Alpine,12577
317,2016,Ararat,11744
318,2016,Ballarat,103499
319,2016,Banyule,127446
320,2016,Bass Coast,33463
321,2016,Baw Baw,49295
322,2016,Bayside,102911
323,2016,Benalla,13981
324,2016,Boroondara,177275
325,2016,Brimbank,204189
326,2016,Buloke,6283
327,2016,Campaspe,37594
328,2016,Cardinia,97572
329,2016,Casey,312788
330,2016,Central Goldfields,13086
331,2016,Colac-Otway,21361
332,2016,Corangamite,16242
333,2016,Darebin,155125
334,2016,East Gippsland,45599
335,2016,Frankston,139501
336,2016,Gannawarra,10566
337,2016,Glen Eira,148582
338,2016,Glenelg,19758
339,2016,Golden Plains,22015
340,2016,Greater Bendigo,112266
341,2016,Greater Dandenong,160221
342,2016,Greater Geelong,239528
343,2016,Greater Shepparton,65071
344,2016,Hepburn,15524
345,2016,Hindmarsh,5783
346,2016,Hobsons Bay,93444
347,2016,Horsham,19883
348,2016,Hume,207040
349,2016,Indigo,16164
350,2016,Kingston,158940
351,2016,Knox,160352
352,2016,Latrobe,74621
353,2016,Loddon,7557
354,2016,Macedon Ranges,47479
355,2016,Manningham,122569
356,2016,Mansfield,8673
357,2016,Maribyrnong,86941
358,2016,Maroondah,114799
359,2016,Melbourne,146095
360,2016,Melton,141419
361,2016,Mildura,54657
362,2016,Mitchell,41794
363,2016,Moira,29485
364,2016,Monash,192624
365,2016,Moonee Valley,122870
366,2016,Moorabool,32671
367,2016,Moreland,172293
368,2016,Mornington Peninsula,161527
369,2016,Mount Alexander,19096
370,2016,Moyne,16736
371,2016,Murrindindi,14051
372,2016,Nillumbik,64173
373,2016,Northern Grampians,11569
374,2016,Port Phillip,108626
375,2016,Pyrenees,7315
376,2016,Queenscliffe,2928
377,2016,South Gippsland,29121
378,2016,Southern Grampians,16122
379,2016,Stonnington,111002
380,2016,Strathbogie,10356
381,2016,Surf Coast,30464
382,2016,Swan Hill,20895
383,2016,Towong,6045
384,2016,Wangaratta,28591
385,2016,Warrnambool,34241
386,2016,Wellington,43529
387,2016,West Wimmera,3936
388,2016,Whitehorse,169640
389,2016,Whittlesea,207057
390,2016,Wodonga,40099
391,2016,Wyndham,227007
392,2016,Yarra,92893
393,2016,Yarra Ranges,155225
394,2016,Yarriambiack,6742
395,2017,Alpine,12637
396,2017,Ararat,11755
397,2017,Ballarat,105421
398,2017,Banyule,129114
399,2017,Bass Coast,34385
400,2017,Baw Baw,50675
401,2017,Bayside,104281
402,2017,Benalla,13973
403,2017,Boroondara,179676
404,2017,Brimbank,206996
405,2017,Buloke,6204
406,2017,Campaspe,37596
407,2017,Cardinia,102402
408,2017,Casey,326770
409,2017,Central Goldfields,13147
410,2017,Colac-Otway,21429
411,2017,Corangamite,16209
412,2017,Darebin,158750
413,2017,East Gippsland,46135
