Year,Police Region,Local Government Area
2017,4 Western,Buloke
2017,4 Western,Campaspe
2017,4 Western,Central Goldfields
2017,4 Western,Colac-Otway
2017,4 Western,Corangamite
2017,4 Western,Gannawarra
2017,4 Western,Glenelg
2017,4 Western,Golden Plains
2017,4 Western,Greater Bendigo
2017,4 Western,Greater Geelong
2017,4 Western,Hepburn
2017,4 Western,Hindmarsh
2017,4 Western,Horsham
2017,4 Western,Loddon
2017,4 Western,Macedon Ranges
2017,4 Western,Mildura
2017,4 Western,Moorabool
2017,4 Western,Mount Alexander
2017,4 Western,Moyne
2017,4 Western,Northern Grampians
2017,4 Western,Pyrenees
2017,4 Western,Queenscliffe
2017,4 Western,Southern Grampians
2017,4 Western,Surf Coast
2017,4 Western,Swan Hill
2017,4 Western,Warrnambool
2017,4 Western,West Wimmera
2017,4 Western,Yarriambiack
2017,4 Western,Total
2017,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities
2017,Justice Institutions and Immigration Facilities,Total
2017,Unincorporated Vic,Unincorporated Vic
2017,Unincorporated Vic,Total
2016,1 North West Metro,Banyule
2016,1 North West Metro,Brimbank
2016,1 North West Metro,Darebin
2016,1 North West Metro,Hobsons Bay
2016,1 North West Metro,Hume
2016,1 North West Metro,Maribyrnong
2016,1 North West Metro,Melbourne
2016,1 North West Metro,Melton
2016,1 North West Metro,Moonee Valley
2016,1 North West Metro,Moreland
2016,1 North West Metro,Nillumbik
2016,1 North West Metro,Whittlesea
2016,1 North West Metro,Wyndham
2016,1 North West Metro,Yarra
2016,1 North West Metro,Total
2016,2 Eastern,Alpine
2016,2 Eastern,Bass Coast
2016,2 Eastern,Baw Baw
2016,2 Eastern,Benalla
2016,2 Eastern,Boroondara
2016,2 Eastern,East Gippsland
2016,2 Eastern,Greater Shepparton
2016,2 Eastern,Indigo
2016,2 Eastern,Knox
2016,2 Eastern,Latrobe
2016,2 Eastern,Manningham
2016,2 Eastern,Mansfield
2016,2 Eastern,Maroondah
2016,2 Eastern,Mitchell
2016,2 Eastern,Moira
2016,2 Eastern,Monash
2016,2 Eastern,Murrindindi
2016,2 Eastern,South Gippsland
2016,2 Eastern,Strathbogie
2016,2 Eastern,Towong
2016,2 Eastern,Wangaratta
2016,2 Eastern,Wellington
2016,2 Eastern,Whitehorse
2016,2 Eastern,Wodonga
2016,2 Eastern,Yarra Ranges
2016,2 Eastern,Total
2016,3 Southern Metro,Bayside
2016,3 Southern Metro,Cardinia
2016,3 Southern Metro,Casey
2016,3 Southern Metro,Frankston
2016,3 Southern Metro,Glen Eira
2016,3 Southern Metro,Greater Dandenong
2016,3 Southern Metro,Kingston
2016,3 Southern Metro,Mornington Peninsula
2016,3 Southern Metro,Port Phillip
2016,3 Southern Metro,Stonnington
2016,3 Southern Metro,Total
2016,4 Western,Ararat
2016,4 Western,Ballarat
2016,4 Western,Buloke
2016,4 Western,Campaspe
2016,4 Western,Central Goldfields
2016,4 Western,Colac-Otway
2016,4 Western,Corangamite
2016,4 Western,Gannawarra
2016,4 Western,Glenelg
2016,4 Western,Golden Plains
2016,4 Western,Greater Bendigo
2016,4 Western,Greater Geelong
2016,4 Western,Hepburn
2016,4 Western,Hindmarsh
2016,4 Western,Horsham
2016,4 Western,Loddon
2016,4 Western,Macedon Ranges
2016,4 Western,Mildura
2016,4 Western,Moorabool
2016,4 Western,Mount Alexander
2016,4 Western,Moyne
2016,4 Western,Northern Grampians
2016,4 Western,Pyrenees
2016,4 Western,Queenscliffe
2016,4 Western,Southern Grampians
2016,4 Western,Surf Coast
2016,4 Western,Swan Hill
2016,4 Western,Warrnambool
2016,4 Western,West Wimmera
2016,4 Western,Yarriambiack
2016,4 Western,Total
2016,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities
2016,Justice Institutions and Immigration Facilities,Total
2016,Unincorporated Vic,Unincorporated Vic
2016,Unincorporated Vic,Total
2015,1 North West Metro,Banyule
2015,1 North West Metro,Brimbank
2015,1 North West Metro,Darebin
2015,1 North West Metro,Hobsons Bay
2015,1 North West Metro,Hume
2015,1 North West Metro,Maribyrnong
2015,1 North West Metro,Melbourne
2015,1 North West Metro,Melton
2015,1 North West Metro,Moonee Valley
2015,1 North West Metro,Moreland
2015,1 North West Metro,Nillumbik
2015,1 North West Metro,Whittlesea
2015,1 North West Metro,Wyndham
2015,1 North West Metro,Yarra
2015,1 North West Metro,Total
2015,2 Eastern,Alpine
2015,2 Eastern,Bass Coast
2015,2 Eastern,Baw Baw
2015,2 Eastern,Benalla
2015,2 Eastern,Boroondara
2015,2 Eastern,East Gippsland
2015,2 Eastern,Greater Shepparton
2015,2 Eastern,Indigo
2015,2 Eastern,Knox
2015,2 Eastern,Latrobe
2015,2 Eastern,Manningham
2015,2 Eastern,Mansfield
2015,2 Eastern,Maroondah
2015,2 Eastern,Mitchell
2015,2 Eastern,Moira
2015,2 Eastern,Monash
2015,2 Eastern,Murrindindi
2015,2 Eastern,South Gippsland
2015,2 Eastern,Strathbogie
2015,2 Eastern,Towong
2015,2 Eastern,Wangaratta
2015,2 Eastern,Wellington
2015,2 Eastern,Whitehorse
2015,2 Eastern,Wodonga
2015,2 Eastern,Yarra Ranges
2015,2 Eastern,Total
2015,3 Southern Metro,Bayside
2015,3 Southern Metro,Cardinia
2015,3 Southern Metro,Casey
2015,3 Southern Metro,Frankston
2015,3 Southern Metro,Glen Eira
2015,3 Southern Metro,Greater Dandenong
2015,3 Southern Metro,Kingston
2015,3 Southern Metro,Mornington Peninsula
2015,3 Southern Metro,Port Phillip
2015,3 Southern Metro,Stonnington
2015,3 Southern Metro,Total
2015,4 Western,Ararat
2015,4 Western,Ballarat
2015,4 Western,Buloke
2015,4 Western,Campaspe
2015,4 Western,Central Goldfields
2015,4 Western,Colac-Otway
2015,4 Western,Corangamite
2015,4 Western,Gannawarra
2015,4 Western,Glenelg
2015,4 Western,Golden Plains
2015,4 Western,Greater Bendigo
2015,4 Western,Greater Geelong
2015,4 Western,Hepburn
2015,4 Western,Hindmarsh
2015,4 Western,Horsham
2015,4 Western,Loddon
2015,4 Western,Macedon Ranges
2015,4 Western,Mildura
2015,4 Western,Moorabool
2015,4 Western,Mount Alexander
2015,4 Western,Moyne
2015,4 Western,Northern Grampians
2015,4 Western,Pyrenees
2015,4 Western,Queenscliffe
2015,4 Western,Southern Grampians
2015,4 Western,Surf Coast
2015,4 Western,Swan Hill
2015,4 Western,Warrnambool
2015,4 Western,West Wimmera
2015,4 Western,Yarriambiack
2015,4 Western,Total
2015,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities
2015,Justice Institutions and Immigration Facilities,Total
2015,Unincorporated Vic,Unincorporated Vic
2015,Unincorporated Vic,Total
2014,1 North West Metro,Banyule
2014,1 North West Metro,Brimbank
2014,1 North West Metro,Darebin
2014,1 North West Metro,Hobsons Bay
2014,1 North West Metro,Hume
2014,1 North West Metro,Maribyrnong
2014,1 North West Metro,Melbourne
2014,1 North West Metro,Melton
2014,1 North West Metro,Moonee Valley
2014,1 North West Metro,Moreland
2014,1 North West Metro,Nillumbik
2014,1 North West Metro,Whittlesea
2014,1 North West Metro,Wyndham
2014,1 North West Metro,Yarra
2014,1 North West Metro,Total
2014,2 Eastern,Alpine
2014,2 Eastern,Bass Coast
2014,2 Eastern,Baw Baw
2014,2 Eastern,Benalla
2014,2 Eastern,Boroondara
2014,2 Eastern,East Gippsland
2014,2 Eastern,Greater Shepparton
2014,2 Eastern,Indigo
2014,2 Eastern,Knox
2014,2 Eastern,Latrobe
2014,2 Eastern,Manningham
2014,2 Eastern,Mansfield
2014,2 Eastern,Maroondah
2014,2 Eastern,Mitchell
2014,2 Eastern,Moira
2014,2 Eastern,Monash
2014,2 Eastern,Murrindindi
2014,2 Eastern,South Gippsland
2014,2 Eastern,Strathbogie
2014,2 Eastern,Towong
2014,2 Eastern,Wangaratta
2014,2 Eastern,Wellington
2014,2 Eastern,Whitehorse
2014,2 Eastern,Wodonga
2014,2 Eastern,Yarra Ranges
2014,2 Eastern,Total
2014,3 Southern Metro,Bayside
2014,3 Southern Metro,Cardinia
2014,3 Southern Metro,Casey
2014,3 Southern Metro,Frankston
2014,3 Southern Metro,Glen Eira
2014,3 Southern Metro,Greater Dandenong
2014,3 Southern Metro,Kingston
2014,3 Southern Metro,Mornington Peninsula
2014,3 Southern Metro,Port Phillip
2014,3 Southern Metro,Stonnington
2014,3 Southern Metro,Total
2014,4 Western,Ararat
2014,4 Western,Ballarat
2014,4 Western,Buloke
2014,4 Western,Campaspe
2014,4 Western,Central Goldfields
2014,4 Western,Colac-Otway
2014,4 Western,Corangamite
2014,4 Western,Gannawarra
2014,4 Western,Glenelg
2014,4 Western,Golden Plains
2014,4 Western,Greater Bendigo
2014,4 Western,Greater Geelong
2014,4 Western,Hepburn
2014,4 Western,Hindmarsh
2014,4 Western,Horsham
2014,4 Western,Loddon
2014,4 Western,Macedon Ranges
2014,4 Western,Mildura
2014,4 Western,Moorabool
2014,4 Western,Mount Alexander
2014,4 Western,Moyne
2014,4 Western,Northern Grampians
2014,4 Western,Pyrenees
2014,4 Western,Queenscliffe
2014,4 Western,Southern Grampians
2014,4 Western,Surf Coast
2014,4 Western,Swan Hill
2014,4 Western,Warrnambool
2014,4 Western,West Wimmera
2014,4 Western,Yarriambiack
2014,4 Western,Total
2014,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities
2014,Justice Institutions and Immigration Facilities,Total
2014,Unincorporated Vic,Unincorporated Vic
2014,Unincorporated Vic,Total
2013,1 North West Metro,Banyule
2013,1 North West Metro,Brimbank
2013,1 North West Metro,Darebin
2013,1 North West Metro,Hobsons Bay
2013,1 North West Metro,Hume
2013,1 North West Metro,Maribyrnong
2013,1 North West Metro,Melbourne
2013,1 North West Metro,Melton
2013,1 North West Metro,Moonee Valley
2013,1 North West Metro,Moreland
2013,1 North West Metro,Nillumbik
2013,1 North West Metro,Whittlesea
2013,1 North West Metro,Wyndham
2013,1 North West Metro,Yarra
2013,1 North West Metro,Total
2013,2 Eastern,Alpine
2013,2 Eastern,Bass Coast
2013,2 Eastern,Baw Baw
2013,2 Eastern,Benalla
2013,2 Eastern,Boroondara
2013,2 Eastern,East Gippsland
2013,2 Eastern,Greater Shepparton
2013,2 Eastern,Indigo
2013,2 Eastern,Knox
2013,2 Eastern,Latrobe
2013,2 Eastern,Manningham
2013,2 Eastern,Mansfield
2013,2 Eastern,Maroondah
2013,2 Eastern,Mitchell
2013,2 Eastern,Moira
2013,2 Eastern,Monash
2013,2 Eastern,Murrindindi
2013,2 Eastern,South Gippsland
2013,2 Eastern,Strathbogie
2013,2 Eastern,Towong
2013,2 Eastern,Wangaratta
2013,2 Eastern,Wellington
2013,2 Eastern,Whitehorse
2013,2 Eastern,Wodonga
2013,2 Eastern,Yarra Ranges
2013,2 Eastern,Total
2013,3 Southern Metro,Bayside
2013,3 Southern Metro,Cardinia
2013,3 Southern Metro,Casey
2013,3 Southern Metro,Frankston
2013,3 Southern Metro,Glen Eira
2013,3 Southern Metro,Greater Dandenong
2013,3 Southern Metro,Kingston
2013,3 Southern Metro,Mornington Peninsula
2013,3 Southern Metro,Port Phillip
2013,3 Southern Metro,Stonnington
2013,3 Southern Metro,Total
2013,4 Western,Ararat
2013,4 Western,Ballarat
2013,4 Western,Buloke
2013,4 Western,Campaspe
2013,4 Western,Central Goldfields
2013,4 Western,Colac-Otway
2013,4 Western,Corangamite
2013,4 Western,Gannawarra
2013,4 Western,Glenelg
2013,4 Western,Golden Plains
2013,4 Western,Greater Bendigo
2013,4 Western,Greater Geelong
2013,4 Western,Hepburn
2013,4 Western,Hindmarsh
2013,4 Western,Horsham
2013,4 Western,Loddon
2013,4 Western,Macedon Ranges
2013,4 Western,Mildura
2013,4 Western,Moorabool
2013,4 Western,Mount Alexander
2013,4 Western,Moyne
2013,4 Western,Northern Grampians
2013,4 Western,Pyrenees
2013,4 Western,Queenscliffe
2013,4 Western,Southern Grampians
2013,4 Western,Surf Coast
2013,4 Western,Swan Hill
2013,4 Western,Warrnambool
2013,4 Western,West Wimmera
2013,4 Western,Yarriambiack
2013,4 Western,Total
2013,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities
2013,Justice Institutions and Immigration Facilities,Total
2013,Unincorporated Vic,Unincorporated Vic
2013,Unincorporated Vic,Total
2012,1 North West Metro,Banyule
2012,1 North West Metro,Brimbank
2012,1 North West Metro,Darebin
2012,1 North West Metro,Hobsons Bay
2012,1 North West Metro,Hume
2012,1 North West Metro,Maribyrnong
2012,1 North West Metro,Melbourne
2012,1 North West Metro,Melton
2012,1 North West Metro,Moonee Valley
2012,1 North West Metro,Moreland
2012,1 North West Metro,Nillumbik
2012,1 North West Metro,Whittlesea
2012,1 North West Metro,Wyndham
2012,1 North West Metro,Yarra
2012,1 North West Metro,Total
2012,2 Eastern,Alpine
2012,2 Eastern,Bass Coast
2012,2 Eastern,Baw Baw
2012,2 Eastern,Benalla
2012,2 Eastern,Boroondara
2012,2 Eastern,East Gippsland
2012,2 Eastern,Greater Shepparton
2012,2 Eastern,Indigo
2012,2 Eastern,Knox
2012,2 Eastern,Latrobe
2012,2 Eastern,Manningham
2012,2 Eastern,Mansfield
2012,2 Eastern,Maroondah
2012,2 Eastern,Mitchell
2012,2 Eastern,Moira
2012,2 Eastern,Monash
2012,2 Eastern,Murrindindi
2012,2 Eastern,South Gippsland
2012,2 Eastern,Strathbogie
2012,2 Eastern,Towong
2012,2 Eastern,Wangaratta
2012,2 Eastern,Wellington
2012,2 Eastern,Whitehorse
2012,2 Eastern,Wodonga
2012,2 Eastern,Yarra Ranges
2012,2 Eastern,Total
2012,3 Southern Metro,Bayside
2012,3 Southern Metro,Cardinia
2012,3 Southern Metro,Casey
2012,3 Southern Metro,Frankston
2012,3 Southern Metro,Glen Eira
2012,3 Southern Metro,Greater Dandenong
2012,3 Southern Metro,Kingston
2012,3 Southern Metro,Mornington Peninsula
2012,3 Southern Metro,Port Phillip
2012,3 Southern Metro,Stonnington
2012,3 Southern Metro,Total
2012,4 Western,Ararat
2012,4 Western,Ballarat
2012,4 Western,Buloke
2012,4 Western,Campaspe
2012,4 Western,Central Goldfields
2012,4 Western,Colac-Otway
2012,4 Western,Corangamite
2012,4 Western,Gannawarra
2012,4 Western,Glenelg
2012,4 Western,Golden Plains
2012,4 Western,Greater Bendigo
2012,4 Western,Greater Geelong
2012,4 Western,Hepburn
2012,4 Western,Hindmarsh
2012,4 Western,Horsham
2012,4 Western,Loddon
2012,4 Western,Macedon Ranges
2012,4 Western,Mildura
2012,4 Western,Moorabool
2012,4 Western,Mount Alexander
